,Species,WT_WO,WT_Local,Uncert,WT_WO_Uncert,WT_Local_Uncert
1,Sp1,1,1,0.83,0.83,0.83
2,Sp2,1,1,0.91,0.91,0.91
3,Sp3,1,3,0.876,0.876,2.628
4,Sp4,1,3,0.861,0.861,2.583
5,Sp5,1,1,0.86,0.86,0.86
6,Sp6,1,3,0.806,0.806,2.418
7,Sp7,1,3,0.865,0.865,2.595
8,Sp8,1,1,0.859,0.859,0.859
9,Sp9,1,1,0.942,0.942,0.942
10,Sp10,1,1,0.747,0.747,0.747
11,Sp11,1,1,0.829,0.829,0.829
12,Sp12,1,1,0.819,0.819,0.819
13,Sp13,1,3,0.686,0.686,2.058
14,Sp14,1,1,0.902,0.902,0.902
15,Sp15,1,3,0.832,0.832,2.496
