,Species,WT_WO,WT_Local,Uncert,WT_WO_Uncert,WT_Local_Uncert
1,Sp1,1,1,0.895,0.895,0.895
2,Sp2,1,1,0.868,0.868,0.868
3,Sp3,1,3,0.702,0.702,2.106
4,Sp4,1,3,0.681,0.681,2.043
5,Sp5,1,1,0.864,0.864,0.864
6,Sp6,1,3,0.83,0.83,2.49
7,Sp7,1,3,0.767,0.767,2.301
8,Sp8,1,1,0.825,0.825,0.825
9,Sp9,1,1,1,1,1
10,Sp10,1,1,0.714,0.714,0.714
11,Sp11,1,1,0.831,0.831,0.831
12,Sp12,1,1,0.816,0.816,0.816
13,Sp13,1,3,0.597,0.597,1.791
14,Sp14,1,1,0.802,0.802,0.802
15,Sp15,1,3,0.865,0.865,2.595
